WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Cloze_name,Cloze_code,Word
0.0,264.8534039498846,2.0,0.019423696,-1.0,1.0,low_cloze,0.0006333122229259025,trod
1.0,335.0251529183512,10.0,0.025161534,1.0,1.0,low_cloze,0.0006333122229259025,pant
2.0,263.70571812856076,5.0,0.042052879,1.0,1.0,low_cloze,0.0006333122229259025,robe
3.0,303.5693857458001,7.0,0.027564299,-1.0,1.0,low_cloze,0.0006333122229259025,slew
4.0,324.42516525535774,10.0,0.03857022,1.0,1.0,low_cloze,0.0006333122229259025,mint
5.0,317.4179254579625,15.0,0.050603841,-1.0,1.0,low_cloze,0.0006333122229259025,sale
6.0,195.83365819589955,0.0,0.024677382,1.0,1.0,low_cloze,0.0006333122229259025,dojo
7.0,245.5124993252179,3.0,0.064257303,-1.0,1.0,low_cloze,0.0006333122229259025,plan
8.0,307.09230074316025,6.0,0.032808985,1.0,1.0,low_cloze,0.0006333122229259025,gram
9.0,257.61008198397207,1.0,0.00979284,1.0,1.0,low_cloze,0.0006333122229259025,clef
10.0,272.24437265599016,7.0,0.052893216,-1.0,1.0,low_cloze,0.0006333122229259025,mood
11.0,210.92043687791028,1.0,0.023797268,-1.0,1.0,low_cloze,0.0006333122229259025,faux
12.0,258.39858282812094,2.0,0.044635626,1.0,1.0,low_cloze,0.0006333122229259025,frog
13.0,292.712607107609,8.0,0.019742265,-1.0,1.0,low_cloze,0.0006333122229259025,bode
14.0,356.98032009804876,20.0,0.043190367,1.0,1.0,low_cloze,0.0006333122229259025,core
15.0,258.51031262735603,5.0,0.052113893,-1.0,1.0,low_cloze,0.0006333122229259025,tour
16.0,217.49903369746977,3.0,0.014630766,1.0,1.0,low_cloze,0.0006333122229259025,talc
17.0,279.4270740171386,8.0,0.042034881,1.0,1.0,low_cloze,0.0006333122229259025,scar
18.0,269.0974786922858,5.0,0.027902666,-1.0,1.0,low_cloze,0.0006333122229259025,jolt
19.0,204.18105877836325,1.0,0.066978636,-1.0,1.0,low_cloze,0.0006333122229259025,also
20.0,311.33865282341435,13.0,0.041336549,-1.0,1.0,low_cloze,0.0006333122229259025,bore
21.0,299.35119797906657,8.0,0.032386026,1.0,1.0,low_cloze,0.0006333122229259025,hind
22.0,260.5504612017098,5.0,0.037895286,1.0,1.0,low_cloze,0.0006333122229259025,herb
23.0,336.65742203751887,18.0,0.014006227,-1.0,1.0,low_cloze,0.0006333122229259025,sear
24.0,228.87900227192262,1.0,0.052571048,-1.0,1.0,low_cloze,0.0006333122229259025,ally
25.0,282.14494948961783,10.0,0.022373607,-1.0,1.0,low_cloze,0.0006333122229259025,mope
26.0,275.5870311232431,5.0,0.037389536,1.0,1.0,low_cloze,0.0006333122229259025,limb
27.0,297.1895899628509,8.0,0.038654812,1.0,1.0,low_cloze,0.0006333122229259025,weep
28.0,307.22838129925964,8.0,0.033096956,1.0,1.0,low_cloze,0.0006333122229259025,hoop
29.0,257.35528965678674,3.0,0.019090729,-1.0,1.0,low_cloze,0.0006333122229259025,maim
30.0,254.96894456121828,2.0,0.030420619,1.0,1.0,low_cloze,0.0006333122229259025,knit
31.0,298.72386893876956,10.0,0.041136769,-1.0,1.0,low_cloze,0.0006333122229259025,bold
32.0,278.26248379191594,9.0,0.00979284,-1.0,1.0,low_cloze,0.0006333122229259025,jell
33.0,276.6431558120516,6.0,0.038226454,1.0,1.0,low_cloze,0.0006333122229259025,leaf
34.0,224.07545011569545,2.0,0.00979284,-1.0,1.0,low_cloze,0.0006333122229259025,awed
35.0,240.41394546653228,0.0,0.021671676,1.0,1.0,low_cloze,0.0006333122229259025,euro
36.0,262.49399581896944,3.0,0.041136769,-1.0,1.0,low_cloze,0.0006333122229259025,prep
37.0,260.02179633948543,1.0,0.045755116,1.0,1.0,low_cloze,0.0006333122229259025,poem
38.0,326.5129403561682,16.0,0.041907093,-1.0,1.0,low_cloze,0.0006333122229259025,bare
39.0,315.10589440735447,9.0,0.02949011,1.0,1.0,low_cloze,0.0006333122229259025,lard
40.0,324.3448046554954,12.0,0.022593186,1.0,1.0,low_cloze,0.0006333122229259025,gash
41.0,305.6931760517831,7.0,0.04315977,1.0,1.0,low_cloze,0.0006333122229259025,silk
42.0,277.2527892430531,6.0,0.037223952,-1.0,1.0,low_cloze,0.0006333122229259025,flee
43.0,226.8099689817206,1.0,0.023417505,1.0,1.0,low_cloze,0.0006333122229259025,yogi
44.0,282.292970416096,5.0,0.008588758,-1.0,1.0,low_cloze,0.0006333122229259025,plod
45.0,225.91939221155502,2.0,0.046784615,1.0,1.0,low_cloze,0.0006333122229259025,exit
46.0,227.89097940364906,1.0,0.056046507,-1.0,1.0,low_cloze,0.0006333122229259025,duty
47.0,311.4250699723148,13.0,0.023016144,-1.0,1.0,low_cloze,0.0006333122229259025,hone
48.0,226.75449557118554,2.0,0.030260434,1.0,1.0,low_cloze,0.0006333122229259025,fuzz
49.0,333.2859480592478,13.0,0.034680801,1.0,1.0,low_cloze,0.0006333122229259025,lime
50.0,263.48189490453194,3.0,0.038681809,-1.0,1.0,low_cloze,0.0006333122229259025,prey
51.0,308.7393411450233,9.0,0.023797268,-1.0,1.0,low_cloze,0.0006333122229259025,bunt
52.0,297.99056247778947,12.0,0.046996994,-1.0,1.0,low_cloze,0.0006333122229259025,rape
53.0,334.86714706973123,13.0,0.037772898,1.0,1.0,low_cloze,0.0006333122229259025,gale
54.0,244.39663215465265,1.0,0.021912853,-1.0,1.0,low_cloze,0.0006333122229259025,spry
55.0,292.39831105651245,5.0,0.046106082,1.0,1.0,low_cloze,0.0006333122229259025,flip
56.0,320.30927632214343,15.0,0.032981768,-1.0,1.0,low_cloze,0.0006333122229259025,fore
57.0,287.5222382957874,7.0,0.044479041,-1.0,1.0,low_cloze,0.0006333122229259025,plot
58.0,250.60257486160458,2.0,0.025906661,-1.0,1.0,low_cloze,0.0006333122229259025,tier
59.0,310.486889329426,11.0,0.042177067,1.0,1.0,low_cloze,0.0006333122229259025,fold
60.0,269.87166244442705,3.0,0.04755134,1.0,1.0,low_cloze,0.0006333122229259025,fuel
61.0,305.87921257246575,7.0,0.029841076,1.0,1.0,low_cloze,0.0006333122229259025,dung
62.0,224.06261208552846,0.0,0.0,1.0,1.0,low_cloze,0.0006333122229259025,lynx
63.0,246.8838614248285,4.0,0.050794622,-1.0,1.0,low_cloze,0.0006333122229259025,thee
64.0,282.0395695471012,4.0,0.016727561,-1.0,1.0,low_cloze,0.0006333122229259025,arid
65.0,327.37562755469287,13.0,0.032866579,1.0,1.0,low_cloze,0.0006333122229259025,hoot
66.0,300.1263347414671,8.0,0.043960692,1.0,1.0,low_cloze,0.0006333122229259025,torn
67.0,267.05911401084006,6.0,0.052290276,-1.0,1.0,low_cloze,0.0006333122229259025,weak
68.0,272.8909486726594,4.0,0.038955382,1.0,1.0,low_cloze,0.0006333122229259025,cuff
69.0,257.2889448291156,3.0,0.040721009,-1.0,1.0,low_cloze,0.0006333122229259025,folk
70.0,308.25708388203776,14.0,0.03458721,-1.0,1.0,low_cloze,0.0006333122229259025,cope
71.0,290.258097910292,4.0,0.024841166,1.0,1.0,low_cloze,0.0006333122229259025,spud
72.0,239.385304289801,3.0,0.044928997,-1.0,1.0,low_cloze,0.0006333122229259025,coma
73.0,234.06677188349113,1.0,0.016727561,-1.0,1.0,low_cloze,0.0006333122229259025,gawk
74.0,308.3529290338094,11.0,0.03153471,-1.0,1.0,low_cloze,0.0006333122229259025,dire
75.0,309.89536304638216,10.0,0.041646119,1.0,1.0,low_cloze,0.0006333122229259025,hose
76.0,314.6991260779308,9.0,0.026966757,1.0,1.0,low_cloze,0.0006333122229259025,foil
77.0,307.24069223062304,11.0,0.036986375,-1.0,1.0,low_cloze,0.0006333122229259025,peep
78.0,280.12550154990817,4.0,0.022807365,1.0,1.0,low_cloze,0.0006333122229259025,fawn
79.0,293.4815459466252,5.0,0.046296863,1.0,1.0,low_cloze,0.0006333122229259025,spin
80.0,269.3706965457709,5.0,0.027211533,-1.0,1.0,low_cloze,0.0006333122229259025,stow
81.0,214.8990615083885,2.0,0.055268984,-1.0,1.0,low_cloze,0.0006333122229259025,size
82.0,301.7310728219916,11.0,0.031394323,-1.0,1.0,low_cloze,0.0006333122229259025,hock
83.0,264.863087523626,8.0,0.055826929,-1.0,1.0,low_cloze,0.0006333122229259025,east
84.0,310.2228279780451,12.0,0.037223952,1.0,1.0,low_cloze,0.0006333122229259025,rail
85.0,333.172824100997,13.0,0.033590108,1.0,1.0,low_cloze,0.0006333122229259025,pest
86.0,290.0474622901787,4.0,0.037454329,1.0,1.0,low_cloze,0.0006333122229259025,raft
87.0,217.31248985250227,0.0,0.022593186,1.0,1.0,low_cloze,0.0006333122229259025,tutu
88.0,273.94466064157086,6.0,0.046503843,-1.0,1.0,low_cloze,0.0006333122229259025,host
89.0,278.7274939174604,4.0,0.022593186,1.0,1.0,low_cloze,0.0006333122229259025,lube
